"Step","ASPOCRNet-Mobilenet - val_loss","ASPOCRNet-Mobilenet - val_loss__MIN","ASPOCRNet-Mobilenet - val_loss__MAX"
"0","11.939316749572754","11.939316749572754","11.939316749572754"
"1","4.247735023498535","4.247735023498535","4.247735023498535"
"2","10.739401817321777","10.739401817321777","10.739401817321777"
"3","0.19155238568782806","0.19155238568782806","0.19155238568782806"
"4","0.24568511545658112","0.24568511545658112","0.24568511545658112"
"5","0.15376530587673187","0.15376530587673187","0.15376530587673187"
"6","1.9017817974090576","1.9017817974090576","1.9017817974090576"
"7","0.05586981773376465","0.05586981773376465","0.05586981773376465"
"8","0.07888805121183395","0.07888805121183395","0.07888805121183395"
"9","1.2055912017822266","1.2055912017822266","1.2055912017822266"
"10","0.05010379105806351","0.05010379105806351","0.05010379105806351"
"11","0.04753177985548973","0.04753177985548973","0.04753177985548973"
"12","0.025502251461148262","0.025502251461148262","0.025502251461148262"
"13","0.053666695952415466","0.053666695952415466","0.053666695952415466"
"14","1.7551316022872925","1.7551316022872925","1.7551316022872925"