"Step","ASPOCRNET-Resnet - loss","ASPOCRNET-Resnet - loss__MIN","ASPOCRNET-Resnet - loss__MAX"
"0","0.7887435555458069","0.7887435555458069","0.7887435555458069"
"1","0.4439711272716522","0.4439711272716522","0.4439711272716522"
"2","0.2783314287662506","0.2783314287662506","0.2783314287662506"
"3","0.1890053153038025","0.1890053153038025","0.1890053153038025"
"4","0.1371840238571167","0.1371840238571167","0.1371840238571167"
"5","0.10506559908390045","0.10506559908390045","0.10506559908390045"
"6","0.08396308124065399","0.08396308124065399","0.08396308124065399"
"7","0.06945750117301941","0.06945750117301941","0.06945750117301941"
"8","0.0591500960290432","0.0591500960290432","0.0591500960290432"
"9","0.05156134441494942","0.05156134441494942","0.05156134441494942"
"10","0.04587674140930176","0.04587674140930176","0.04587674140930176"
"11","0.041550543159246445","0.041550543159246445","0.041550543159246445"
"12","0.038177166134119034","0.038177166134119034","0.038177166134119034"
"13","0.0355231836438179","0.0355231836438179","0.0355231836438179"
"14","0.03343680128455162","0.03343680128455162","0.03343680128455162"