"Step","ASPOCRNET-Resnet - sparse_categorical_accuracy","ASPOCRNET-Resnet - sparse_categorical_accuracy__MIN","ASPOCRNET-Resnet - sparse_categorical_accuracy__MAX"
"0","0.9654871821403503","0.9654871821403503","0.9654871821403503"
"1","0.9874898195266724","0.9874898195266724","0.9874898195266724"
"2","0.9887106418609619","0.9887106418609619","0.9887106418609619"
"3","0.9893597960472107","0.9893597960472107","0.9893597960472107"
"4","0.9896420836448669","0.9896420836448669","0.9896420836448669"
"5","0.9898071885108948","0.9898071885108948","0.9898071885108948"
"6","0.9898825883865356","0.9898825883865356","0.9898825883865356"
"7","0.9899182319641113","0.9899182319641113","0.9899182319641113"
"8","0.9899057149887085","0.9899057149887085","0.9899057149887085"
"9","0.9899013638496399","0.9899013638496399","0.9899013638496399"
"10","0.9898923635482788","0.9898923635482788","0.9898923635482788"
"11","0.9898461699485779","0.9898461699485779","0.9898461699485779"
"12","0.9898049831390381","0.9898049831390381","0.9898049831390381"
"13","0.989787220954895","0.989787220954895","0.989787220954895"
"14","0.9897232055664062","0.9897232055664062","0.9897232055664062"