"Step","ASPOCRNET-Resnet - val_loss","ASPOCRNET-Resnet - val_loss__MIN","ASPOCRNET-Resnet - val_loss__MAX"
"0","0.5342052578926086","0.5342052578926086","0.5342052578926086"
"1","0.34150299429893494","0.34150299429893494","0.34150299429893494"
"2","0.24634705483913422","0.24634705483913422","0.24634705483913422"
"3","0.16048163175582886","0.16048163175582886","0.16048163175582886"
"4","0.12092796713113785","0.12092796713113785","0.12092796713113785"
"5","0.09320832788944244","0.09320832788944244","0.09320832788944244"
"6","0.0924116000533104","0.0924116000533104","0.0924116000533104"
"7","0.06452321261167526","0.06452321261167526","0.06452321261167526"
"8","0.057909008115530014","0.057909008115530014","0.057909008115530014"
"9","0.049538735300302505","0.049538735300302505","0.049538735300302505"
"10","0.04620824381709099","0.04620824381709099","0.04620824381709099"
"11","0.0403849296271801","0.0403849296271801","0.0403849296271801"
"12","0.03729342296719551","0.03729342296719551","0.03729342296719551"
"13","0.03493547812104225","0.03493547812104225","0.03493547812104225"
"14","0.036333780735731125","0.036333780735731125","0.036333780735731125"