"Step","Unet-Mobilenet - loss","Unet-Mobilenet - loss__MIN","Unet-Mobilenet - loss__MAX"
"0","0.034485433250665665","0.034485433250665665","0.034485433250665665"
"1","0.0012515527196228504","0.0012515527196228504","0.0012515527196228504"
"2","0.0007444243528880179","0.0007444243528880179","0.0007444243528880179"
"3","0.0005692896083928645","0.0005692896083928645","0.0005692896083928645"
"4","0.0004768621001858264","0.0004768621001858264","0.0004768621001858264"
"5","0.0004396536969579756","0.0004396536969579756","0.0004396536969579756"
"6","0.0003971235710196197","0.0003971235710196197","0.0003971235710196197"
"7","0.00037003782927058637","0.00037003782927058637","0.00037003782927058637"
"8","0.0003109583631157875","0.0003109583631157875","0.0003109583631157875"
"9","0.00030053124646656215","0.00030053124646656215","0.00030053124646656215"
"10","0.0002576835104264319","0.0002576835104264319","0.0002576835104264319"
"11","0.00021938029385637492","0.00021938029385637492","0.00021938029385637492"
"12","0.0002121948782587424","0.0002121948782587424","0.0002121948782587424"
"13","0.00019010402320418507","0.00019010402320418507","0.00019010402320418507"
"14","0.00018385452858638018","0.00018385452858638018","0.00018385452858638018"