"Step","Unet-Resnet - loss","Unet-Resnet - loss__MIN","Unet-Resnet - loss__MAX"
"0","0.020875297486782074","0.020875297486782074","0.020875297486782074"
"1","0.0009731455938890576","0.0009731455938890576","0.0009731455938890576"
"2","0.0005809865542687476","0.0005809865542687476","0.0005809865542687476"
"3","0.0004438136820681393","0.0004438136820681393","0.0004438136820681393"
"4","0.0003171056159771979","0.0003171056159771979","0.0003171056159771979"
"5","0.000265707349171862","0.000265707349171862","0.000265707349171862"
"6","0.00023543996212538332","0.00023543996212538332","0.00023543996212538332"
"7","0.00020620011491701007","0.00020620011491701007","0.00020620011491701007"
"8","0.00019589312432799488","0.00019589312432799488","0.00019589312432799488"
"9","0.00018078064022120088","0.00018078064022120088","0.00018078064022120088"
"10","0.00018726511916611344","0.00018726511916611344","0.00018726511916611344"
"11","0.00016576929192524403","0.00016576929192524403","0.00016576929192524403"
"12","0.00016960191715043038","0.00016960191715043038","0.00016960191715043038"
"13","0.00017313851276412606","0.00017313851276412606","0.00017313851276412606"
"14","0.000151343279867433","0.000151343279867433","0.000151343279867433"