"Step","Unet-Resnet - sparse_categorical_accuracy","Unet-Resnet - sparse_categorical_accuracy__MIN","Unet-Resnet - sparse_categorical_accuracy__MAX"
"0","0.9974845051765442","0.9974845051765442","0.9974845051765442"
"1","0.9997724294662476","0.9997724294662476","0.9997724294662476"
"2","0.999810516834259","0.999810516834259","0.999810516834259"
"3","0.9998363852500916","0.9998363852500916","0.9998363852500916"
"4","0.9998989105224609","0.9998989105224609","0.9998989105224609"
"5","0.9999080896377563","0.9999080896377563","0.9999080896377563"
"6","0.9999150633811951","0.9999150633811951","0.9999150633811951"
"7","0.9999223351478577","0.9999223351478577","0.9999223351478577"
"8","0.999923586845398","0.999923586845398","0.999923586845398"
"9","0.9999279975891113","0.9999279975891113","0.9999279975891113"
"10","0.9999266862869263","0.9999266862869263","0.9999266862869263"
"11","0.9999327063560486","0.9999327063560486","0.9999327063560486"
"12","0.9999309182167053","0.9999309182167053","0.9999309182167053"
"13","0.9999292492866516","0.9999292492866516","0.9999292492866516"
"14","0.9999378323554993","0.9999378323554993","0.9999378323554993"