"Step","UNet-Seresnet - sparse_categorical_accuracy","UNet-Seresnet - sparse_categorical_accuracy__MIN","UNet-Seresnet - sparse_categorical_accuracy__MAX"
"0","0.9960079193115234","0.9960079193115234","0.9960079193115234"
"1","0.999842643737793","0.999842643737793","0.999842643737793"
"2","0.9998717904090881","0.9998717904090881","0.9998717904090881"
"3","0.9998930096626282","0.9998930096626282","0.9998930096626282"
"4","0.9999028444290161","0.9999028444290161","0.9999028444290161"
"5","0.9999099969863892","0.9999099969863892","0.9999099969863892"
"6","0.9999162554740906","0.9999162554740906","0.9999162554740906"
"7","0.9999167323112488","0.9999167323112488","0.9999167323112488"
"8","0.9999240636825562","0.9999240636825562","0.9999240636825562"
"9","0.9999268054962158","0.9999268054962158","0.9999268054962158"
"10","0.9999287128448486","0.9999287128448486","0.9999287128448486"
"11","0.999927818775177","0.999927818775177","0.999927818775177"
"12","0.9999256730079651","0.9999256730079651","0.9999256730079651"
"13","0.9999319911003113","0.9999319911003113","0.9999319911003113"
"14","0.999937891960144","0.999937891960144","0.999937891960144"